               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.045746,            0.050208,          0.00051803,             0.87529,               0.782,             0.89249,             0.40399,            0.027784,            0.063723,          0.00024333,           0.0015566,           0.0015566,           0.0015566
                  65,            0.046141,            0.051515,          0.00057103,             0.83816,             0.80408,             0.89292,             0.39728,            0.027955,            0.065113,          0.00023059,           0.0014693,           0.0014693,           0.0014693
                  66,            0.045777,            0.046813,          0.00069306,             0.82942,             0.81559,             0.89101,             0.40368,            0.027951,            0.065182,          0.00023239,            0.001389,            0.001389,            0.001389
                  67,            0.044948,             0.05137,          0.00058288,             0.82836,             0.81741,             0.89516,             0.40807,            0.027635,            0.064827,          0.00022416,            0.001316,            0.001316,            0.001316
                  68,            0.044566,            0.050122,          0.00051329,             0.78563,             0.86297,             0.89617,             0.40494,            0.027514,            0.063764,          0.00021874,           0.0012503,           0.0012503,           0.0012503
                  69,            0.045373,            0.048946,          0.00067755,             0.79826,             0.84811,             0.89526,             0.40804,            0.027088,            0.063477,          0.00021543,           0.0011921,           0.0011921,           0.0011921
                  70,            0.046187,            0.052153,          0.00056538,             0.79951,             0.86475,             0.89899,             0.41303,            0.027116,            0.061919,          0.00020319,           0.0011414,           0.0011414,           0.0011414
                  71,            0.043265,            0.046788,          0.00055915,             0.82001,             0.84802,             0.90128,             0.41644,            0.026931,             0.06267,          0.00020321,           0.0010983,           0.0010983,           0.0010983
                  72,            0.041455,            0.048693,          0.00054103,             0.78556,             0.87543,             0.89565,             0.41531,            0.027389,            0.063989,          0.00020478,            0.001063,            0.001063,            0.001063
                  73,            0.044667,            0.052042,          0.00056583,             0.82068,             0.84604,             0.89904,              0.4113,            0.027253,            0.064885,          0.00019463,           0.0010355,           0.0010355,           0.0010355
                  74,            0.043629,            0.050062,          0.00041883,             0.81389,             0.84446,             0.89813,             0.40855,             0.02757,            0.064998,          0.00019324,           0.0010158,           0.0010158,           0.0010158
